,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
2088,Female,144.0,114.99999999999999,43.0,420.0,171.3,96.5,120.39999999999999,13.5
1748,Female,141.0,109.00000000000001,34.0,316.0,128.7,91.3,53.0,12.5
1747,Female,140.0,107.0,35.0,354.6,136.1,96.0,102.4,16.5
1745,Female,138.0,110.00000000000001,40.0,313.8,137.4,73.5,92.0,13.5
1744,Female,137.0,112.99999999999999,35.0,327.6,155.5,75.0,87.6,12.5
1742,Female,136.0,102.0,40.0,321.5,142.8,67.8,94.1,12.5
1740,Female,135.0,102.0,39.0,276.4,120.9,63.5,79.3,11.5
1738,Female,134.0,108.0,39.0,323.8,148.0,66.10000000000001,93.0,12.5
1737,Female,134.0,110.00000000000001,31.0,313.2,171.6,67.8,70.8,11.5
1736,Female,134.0,104.0,38.0,264.0,104.69999999999999,61.9,85.5,14.5
1731,Female,133.0,101.0,32.0,258.3,126.2,58.5,64.0,12.5
1726,Female,132.0,107.0,35.0,303.5,142.2,62.5,83.0,13.5
1724,Female,131.0,101.0,39.0,288.09999999999997,137.6,76.1,72.6,12.5
1723,Female,131.0,101.0,38.0,269.7,118.7,54.900000000000006,85.0,13.5
1722,Female,131.0,102.0,30.0,208.6,95.89999999999999,44.6,61.0,10.5
3548,Female,99.0,74.0,24.0,118.8,56.00000000000001,22.0,27.500000000000004,8.5
1717,Female,130.0,99.0,31.0,267.4,123.0,63.9,67.0,10.5
1716,Female,129.0,96.0,38.0,274.2,138.5,58.099999999999994,70.0,13.5
1714,Female,129.0,102.0,38.0,272.6,114.6,72.4,72.0,11.5
1712,Female,129.0,102.0,32.0,248.3,116.3,55.2,63.0,10.5
3559,Female,112.99999999999999,90.0,35.0,247.29999999999998,106.1,49.1,61.6,11.5
1703,Female,128.0,101.0,33.0,244.70000000000002,104.3,53.900000000000006,72.0,11.5
1702,Female,127.0,98.0,34.0,252.3,107.69999999999999,53.300000000000004,76.0,10.5
1701,Female,127.0,98.0,35.0,248.70000000000002,116.10000000000001,62.6,61.0,11.5
1750,Female,142.0,113.99999999999999,39.0,396.09999999999997,198.5,98.5,96.0,13.5
3562,Female,113.99999999999999,84.0,32.0,177.5,86.3,38.3,44.6,9.5
1751,Female,142.0,108.0,41.0,316.1,160.4,57.4,87.0,11.5
1756,Female,145.0,112.99999999999999,42.0,428.5,206.0,97.4,100.6,15.5
1808,Female,127.0,95.0,30.0,236.90000000000003,106.59999999999998,61.4,58.20000000000001,11.5
3504,Female,124.0,102.0,36.0,246.59999999999997,118.40000000000002,54.79999999999999,64.4,11.5
3507,Female,128.0,100.0,33.0,232.7,110.79999999999998,47.8,64.0,12.5
1803,Female,123.0,91.0,28.999999999999996,223.1,100.89999999999999,47.6,63.0,11.5
1802,Female,122.0,95.0,30.0,222.7,103.89999999999999,51.5,60.099999999999994,12.5
3508,Female,128.0,95.0,35.0,230.9,97.3,68.2,57.60000000000001,10.5
3509,Female,129.0,104.0,35.0,266.9,133.4,53.300000000000004,71.0,11.5
3512,Female,131.0,108.0,35.0,311.7,145.70000000000002,80.4,77.0,12.5
1795,Female,115.99999999999999,86.0,34.0,296.0,130.7,64.8,83.1,11.5
3513,Female,132.0,100.0,35.0,265.5,111.20000000000002,56.10000000000001,81.69999999999999,10.5
3515,Female,138.0,105.0,38.0,298.4,128.5,78.10000000000001,84.0,13.5
1790,Female,110.00000000000001,76.0,33.0,241.0,108.59999999999998,58.8,66.9,11.5
1789,Female,109.00000000000001,77.0,30.0,223.70000000000002,108.5,48.9,56.89999999999999,10.5
